"","Protein","Gene","Description","Fold_Change","p_Value"
"65","A0A1Y7VNZ6_MOUSE|A0A1Y7VNZ6",NA,NA,1.7,0.00167
"66","A0AUN0_MOUSE|A0AUN0","Sec23ip","Sec23ip protein",1.7,0.0022
"67","A0JLN1_MOUSE|A0JLN1","Srp72","Srp72 protein",1.35,0.00421
"68","A0JLR7_MOUSE|A0JLR7","Ahnak","Ahnak protein",1.36,0.0928
"69","A16L1_MOUSE|Q8C0J2","Atg16l1","Autophagy-related protein 16-1",1.44,0.037
"70","A1AT1_MOUSE|P07758","Serpina1a","Alpha-1-antitrypsin 1-1",1.7,0.0863
"71","A1AT2_MOUSE|P22599","Serpina1b","Alpha-1-antitrypsin 1-2",1.46,0.176
"72","A1BN54_MOUSE|A1BN54","Actn1","Alpha actinin 1a",1.2,0.0866
"73","A1ILI2_MOUSE|A1ILI2","Vps13a","Putative uncharacterized protein Vps13a 3' variant II",1.8,0.00207
"74","A1L3P4_MOUSE|A1L3P4","Slc9a6","Protein Slc9a6",1.39,0.0654
"75","A2A5V2_MOUSE|A2A5V2","Sh3bp1","SH3 domain-binding protein 1",1.56,0.00482
"76","A2A5Y6_MOUSE|A2A5Y6","Mapt","Microtubule-associated protein",1.68,0.000593
"77","A2A8R0_MOUSE|A2A8R0","Zfyve9","MCG17975",2.45,0.00263
"78","A2ACM0_MOUSE|A2ACM0","Rptor","Regulatory-associated protein of mTOR",1.6,0.00175
"79","A2AE27_MOUSE|A2AE27","Ampd2","AMP deaminase 2",2.06,0.000495
"80","A2AI20_MOUSE|A2AI20","Grin1","Glutamate receptor ionotropic, NMDA 1",2.13,0.000457
"81","A2AIX1_MOUSE|A2AIX1","Sec16a","Protein Sec16a",2.91,0.000574
"82","A2AJW4_MOUSE|A2AJW4","Ppp1r3d","MCG51138",1.45,0.0106
"83","A2AJW5_MOUSE|A2AJW5","Fam217b","Protein Fam217b",2.48,0.00093
"84","A2ALK6_MOUSE|A2ALK6","Epb4.1l4b","Band 4.1-like protein 4B",3.07,0.000279
"85","A2ALS7_MOUSE|A2ALS7","Rap1gap","Rap1 GTPase-activating protein 1",1.82,0.00445
"86","A2AS98_MOUSE|A2AS98","Nckap1","Nck-associated protein 1",1.44,0.000592
"87","A2AT37_MOUSE|A2AT37","Upf2","Protein Upf2",1.8,0.00108
"88","A2ATK9_MOUSE|A2ATK9","Fam171a1","Family with sequence similarity 171, member A1",2.32,0.00133
"89","A2AUK8_MOUSE|A2AUK8","Epb4.1l1","Band 4.1-like protein 1",3.39,0.000273
"90","A2AWI7_MOUSE|A2AWI7","Sh3glb2","Endophilin-B2",1.68,0.00125
"91","A2MG_MOUSE|Q6GQT1",NA,NA,-1.16,0.078
"92","A2RTH5_MOUSE|A2RTH5","Lcmt1","Leucine carboxyl methyltransferase 1",1.45,0.085
"93","A2VCS7_MOUSE|A2VCS7","Armcx4","Armcx4 protein",2.85,0.000554
"94","A6ZI46_MOUSE|A6ZI46","Aldoart1","Aldolase A retroprotein 1",1.34,0.00219
"95","A8DUK4_MOUSE|A8DUK4","Hbbt1","Beta-globin",1.5,0.994
"96","A8DUN2_MOUSE|A8DUN2","Hbbt1","Beta-globin",-1.29,0.0211
"97","AACS_MOUSE|Q9D2R0","Aacs","Acetoacetyl-CoA synthetase",2.21,0.000376
"98","AAK1_MOUSE|Q3UHJ0","Aak1","AP2-associated protein kinase 1",2.83,0.000722
"99","AAKB2_MOUSE|Q6PAM0","Prkab2","5'-AMP-activated protein kinase subunit beta-2",1.81,0.00349
"100","AAKG1_MOUSE|O54950","Prkag1","5'-AMP-activated protein kinase subunit gamma-1",1.44,0.0338
"101","AAMDC_MOUSE|Q8R0P4","Aamdc","Mth938 domain-containing protein",1.18,0.331
"102","AAPK1_MOUSE|Q5EG47","Prkaa1","5'-AMP-activated protein kinase catalytic subunit alpha-1",1.8,0.000525
"103","AAPK2_MOUSE|Q8BRK8","Prkaa2","5'-AMP-activated protein kinase catalytic subunit alpha-2",1.49,0.00346
"104","AASD1_MOUSE|Q3THG9","Aarsd1","Alanyl-tRNA editing protein Aarsd1",1.42,0.0462
"105","AASS_MOUSE|Q99K67","Aass","Alpha-aminoadipic semialdehyde synthase, mitochondrial",1.71,0.0459
"106","AATC_MOUSE|P05201","Got1","Aspartate aminotransferase, cytoplasmic",1.3,0.344
"107","AATM_MOUSE|P05202","Got2","Aspartate aminotransferase, mitochondrial",1.27,0.329
"108","ABCA2_MOUSE|P41234","Abca2","ATP-binding cassette sub-family A member 2",1.4,0.00493
"109","ABCA7_MOUSE|Q91V24","Abca7","ATP-binding cassette sub-family A member 7",1.4,0.00652
"110","ABCB7_MOUSE|Q61102","Abcb7","ATP-binding cassette sub-family B member 7, mitochondrial",1.33,0.0153
"111","ABCB8_MOUSE|Q9CXJ4","Abcb8","ATP-binding cassette sub-family B member 8, mitochondrial",1.31,0.0685
"112","ABCB9_MOUSE|Q9JJ59","Abcb9","ATP-binding cassette sub-family B member 9",1.26,0.119
"113","ABCBB_MOUSE|Q9QY30","Abcb11","Bile salt export pump",1.43,0.0283
"114","ABCD3_MOUSE|P55096","Abcd3","ATP-binding cassette sub-family D member 3",1.36,0.0324
"115","ABCE1_MOUSE|P61222","Abce1","ATP-binding cassette sub-family E member 1",1.32,0.00914
"116","ABCF1_MOUSE|Q6P542","Abcf1","ATP-binding cassette sub-family F member 1",1.41,0.00681
"117","ABCF2_MOUSE|Q99LE6","Abcf2","ATP-binding cassette sub-family F member 2",1.32,0.0118
"118","ABCF3_MOUSE|Q8K268","Abcf3","ATP-binding cassette sub-family F member 3",1.57,0.00236
"119","ABD12_MOUSE|Q99LR1","Abhd12","Monoacylglycerol lipase ABHD12",1.66,0.00158
"120","ABHD6_MOUSE|Q8R2Y0","Abhd6","Monoacylglycerol lipase ABHD6",1.55,0.00524
"121","ABHEB_MOUSE|Q8VCR7","Abhd14b","Alpha/beta hydrolase domain-containing protein 14B",1.26,0.124
"122","ABHGA_MOUSE|Q9Z1Q2","Abhd16a","Abhydrolase domain-containing protein 16A",1.45,0.0325
"123","ABI1_MOUSE|Q8CBW3","Abi1","Abl interactor 1",2.61,0.000848
"124","ABI2_MOUSE|P62484","Abi2","Abl interactor 2",2.43,0.00093
"125","ABL1_MOUSE|P00520","Abl1","Tyrosine-protein kinase ABL1",1.93,0.000866
"126","ABL2_MOUSE|Q4JIM5","Abl2","Abelson tyrosine-protein kinase 2",2.12,0.000918
"127","ABLM1_MOUSE|Q8K4G5","Ablim1","Actin-binding LIM protein 1",2.59,0.000643
"128","ABLM2_MOUSE|Q8BL65","Ablim2","Actin-binding LIM protein 2",3.24,0.000407
"129","ABLM3_MOUSE|Q69ZX8","Ablim3","Actin-binding LIM protein 3",2.93,0.000488
"130","ABR_MOUSE|Q5SSL4","Abr","Active breakpoint cluster region-related protein",1.58,0.0014
"131","ABRX2_MOUSE|Q3TCJ1",NA,NA,1.72,0.00143
"132","ACACA_MOUSE|Q5SWU9","Acaca","Acetyl-CoA carboxylase 1",1.24,0.123
"133","ACACB_MOUSE|E9Q4Z2","Acacb","Acetyl-CoA carboxylase 2",1.24,0.0461
"134","ACAD8_MOUSE|Q9D7B6","Acad8","Isobutyryl-CoA dehydrogenase, mitochondrial",1.33,0.0224
"135","ACAD9_MOUSE|Q8JZN5","Acad9","Acyl-CoA dehydrogenase family member 9, mitochondrial",1.41,0.0199
"136","ACADL_MOUSE|P51174","Acadl","Long-chain specific acyl-CoA dehydrogenase, mitochondrial",1.18,0.233
"137","ACADM_MOUSE|P45952","Acadm","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",1.1,0.46
"138","ACADS_MOUSE|Q07417","Acads","Short-chain specific acyl-CoA dehydrogenase, mitochondrial",1.13,0.324
"139","ACADV_MOUSE|P50544","Acadvl","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",1.28,0.0249
"140","ACAP2_MOUSE|Q6ZQK5","Acap2","Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",1.7,0.00123
"141","ACBD5_MOUSE|Q5XG73","Acbd5","Acyl-CoA-binding domain-containing protein 5",2.84,0.00197
"142","ACBD6_MOUSE|Q9D061","Acbd6","Acyl-CoA-binding domain-containing protein 6",1.85,0.00107
"143","ACBG1_MOUSE|Q99PU5","Acsbg1","Long-chain-fatty-acid--CoA ligase ACSBG1",1.5,0.0238
"144","ACBP_MOUSE|P31786","Dbi","Acyl-CoA-binding protein",1.01,0.433
"145","ACDSB_MOUSE|Q9DBL1","Acadsb","Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",1.43,0.0484
"146","ACES_MOUSE|P21836","Ache","Acetylcholinesterase",1.61,0.0261
"147","ACINU_MOUSE|Q9JIX8","Acin1","Apoptotic chromatin condensation inducer in the nucleus",2.58,0.000387
"148","ACL6A_MOUSE|Q9Z2N8","Actl6a","Actin-like protein 6A",1.26,0.000923
"149","ACLY_MOUSE|Q91V92","Acly","ATP-citrate synthase",1.37,0.00345
"150","ACM1_MOUSE|P12657","Chrm1","Muscarinic acetylcholine receptor M1",1.62,0.00451
"151","ACM4_MOUSE|P32211","Chrm4","Muscarinic acetylcholine receptor M4",1.87,0.000641
"152","ACO10_MOUSE|Q32MW3","Acot10","Acyl-coenzyme A thioesterase 10, mitochondrial",1.38,0.0672
"153","ACO11_MOUSE|Q8VHQ9","Acot11","Acyl-coenzyme A thioesterase 11",1.34,0.0839
"154","ACO13_MOUSE|Q9CQR4","Acot13","Acyl-coenzyme A thioesterase 13",1.25,0.252
"155","ACOC_MOUSE|P28271","Aco1","Cytoplasmic aconitate hydratase",1.43,0.0284
"156","ACON_MOUSE|Q99KI0","Aco2","Aconitate hydratase, mitochondrial",1.4,0.0806
"157","ACOT1_MOUSE|O55137","Acot1","Acyl-coenzyme A thioesterase 1",1.24,0.128
"158","ACOT2_MOUSE|Q9QYR9","Acot2","Acyl-coenzyme A thioesterase 2, mitochondrial",1.27,0.159
"159","ACOT9_MOUSE|Q9R0X4","Acot9","Acyl-coenzyme A thioesterase 9, mitochondrial",1.47,0.0785
"160","ACOX3_MOUSE|Q9EPL9","Acox3","Peroxisomal acyl-coenzyme A oxidase 3",1.37,0.0394
"161","ACPM_MOUSE|Q9CR21","Ndufab1","Acyl carrier protein, mitochondrial",1.01,0.646
"162","ACS2L_MOUSE|Q99NB1","Acss1","Acetyl-coenzyme A synthetase 2-like, mitochondrial",1.35,0.0163
"163","ACSA_MOUSE|Q9QXG4","Acss2","Acetyl-coenzyme A synthetase, cytoplasmic",1.69,0.00529
"164","ACSF2_MOUSE|Q8VCW8","Acsf2","Acyl-CoA synthetase family member 2, mitochondrial",1.66,0.0167
"165","ACSF3_MOUSE|Q3URE1","Acsf3","Acyl-CoA synthetase family member 3, mitochondrial",1.51,0.0324
"166","ACSL1_MOUSE|P41216","Acsl1","Long-chain-fatty-acid--CoA ligase 1",1.41,0.044
"167","ACSL3_MOUSE|Q9CZW4","Acsl3","Long-chain-fatty-acid--CoA ligase 3",1.48,0.00664
"168","ACSL4_MOUSE|Q9QUJ7","Acsl4","Long-chain-fatty-acid--CoA ligase 4",1.33,0.0141
"169","ACSL6_MOUSE|Q91WC3","Acsl6","Long-chain-fatty-acid--CoA ligase 6",1.52,0.00756
"170","ACTA_MOUSE|P62737","Acta2","Actin, aortic smooth muscle",1.33,0.123
"171","ACTB_MOUSE|P60710","Actb","Actin, cytoplasmic 1",1.26,0.128
"172","ACTBL_MOUSE|Q8BFZ3","Actbl2","Beta-actin-like protein 2",1.22,0.242
"173","ACTN1_MOUSE|Q7TPR4","Actn1","Alpha-actinin-1",1.2,0.0669
"174","ACTN2_MOUSE|Q9JI91","Actn2","Alpha-actinin-2",1.42,0.0163
"175","ACTN4_MOUSE|P57780","Actn4","Alpha-actinin-4",1.08,0.286
"176","ACTY_MOUSE|Q8R5C5","Actr1b","Beta-centractin",1.33,0.146
"177","ACTZ_MOUSE|P61164","Actr1a","Alpha-centractin",1.36,0.135
"178","ACY2_MOUSE|Q8R3P0","Aspa","Aspartoacylase",1.36,0.102
"179","ACYP1_MOUSE|P56376","Acyp1","Acylphosphatase-1",1.79,0.00257
"180","ACYP2_MOUSE|P56375","Acyp2","Acylphosphatase-2",1.24,0.0101
"181","ADA10_MOUSE|O35598","Adam10","Disintegrin and metalloproteinase domain-containing protein 10",1.17,0.397
"182","ADA11_MOUSE|Q9R1V4","Adam11","Disintegrin and metalloproteinase domain-containing protein 11",1.22,0.0401
"183","ADA22_MOUSE|Q9R1V6","Adam22","Disintegrin and metalloproteinase domain-containing protein 22",1.53,0.00286
"184","ADA23_MOUSE|Q9R1V7","Adam23","Disintegrin and metalloproteinase domain-containing protein 23",1.43,0.0456
"185","ADAS_MOUSE|Q8C0I1","Agps","Alkyldihydroxyacetonephosphate synthase, peroxisomal",1.25,0.0242
"186","ADCK1_MOUSE|Q9D0L4","Adck1","Uncharacterized aarF domain-containing protein kinase 1",1.28,0.0321
"187","ADCY1_MOUSE|O88444","Adcy1","Adenylate cyclase type 1",1.62,0.000402
"188","ADCY5_MOUSE|P84309","Adcy5","Adenylate cyclase type 5",1.71,0.000423
"189","ADCY6_MOUSE|Q01341","Adcy6","Adenylate cyclase type 6",1.24,0.0735
"190","ADCY8_MOUSE|P97490","Adcy8","Adenylate cyclase type 8",1.67,0.000762
"191","ADCY9_MOUSE|P51830","Adcy9","Adenylate cyclase type 9",1.84,0.000738
"192","ADDA_MOUSE|Q9QYC0","Add1","Alpha-adducin",2.25,0.000684
"193","ADDA_MOUSE|Q9QYC0-2","Add1","Alpha-adducin (isoform 2)",2.48,0.000567
"194","ADDB_MOUSE|Q9QYB8","Add2","Beta-adducin",1.79,0.00125
"195","ADDG_MOUSE|Q9QYB5","Add3","Gamma-adducin",1.59,0.005
"196","ADHX_MOUSE|P28474","Adh5","Alcohol dehydrogenase class-3",1.31,0.0259
"197","ADK_MOUSE|P55264","Adk","Adenosine kinase",1.23,0.112
"198","ADNP_MOUSE|Q9Z103","Adnp","Activity-dependent neuroprotector homeobox protein",2.27,0.00477
"199","ADPGK_MOUSE|Q8VDL4","Adpgk","ADP-dependent glucokinase",1.35,0.0232
"200","ADPRH_MOUSE|P54923","Adprh","[Protein ADP-ribosylarginine] hydrolase",1.7,0.00227
"201","ADRM1_MOUSE|Q9JKV1","Adrm1","Proteasomal ubiquitin receptor ADRM1",1.2,0.328
"202","ADRO_MOUSE|Q61578","Fdxr","NADPH:adrenodoxin oxidoreductase, mitochondrial",1.28,0.393
"203","ADT1_MOUSE|P48962","Slc25a4","ADP/ATP translocase 1",1.39,0.00831
"204","ADT2_MOUSE|P51881","Slc25a5","ADP/ATP translocase 2",1.45,0.0367
"205","AEDO_MOUSE|Q6PDY2","Ado","2-aminoethanethiol dioxygenase",1.3,0.0878
"206","AFAD_MOUSE|Q9QZQ1","Mllt4","Afadin",2.57,0.000877
"207","AFAM_MOUSE|O89020","Afm","Afamin",-1.15,0.0182
"208","AFAP1_MOUSE|Q80YS6","Afap1","Actin filament-associated protein 1",1.77,0.00093
"209","AFG1L_MOUSE|Q3V384",NA,NA,1.62,0.0834
"210","AFG32_MOUSE|Q8JZQ2","Afg3l2","AFG3-like protein 2",1.4,0.0297
"211","AFTIN_MOUSE|Q80WT5","Aftph","Aftiphilin",2.83,0.000605
"212","AGAP1_MOUSE|Q8BXK8","Agap1","Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1",1.65,0.00134
"213","AGAP2_MOUSE|Q3UHD9","Agap2","Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",1.66,0.00136
"214","AGAP3_MOUSE|Q8VHH5","Agap3","Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3",1.49,0.0129
"215","AGFG1_MOUSE|Q8K2K6","Agfg1","Arf-GAP domain and FG repeat-containing protein 1",2.76,0.000643
"216","AGFG2_MOUSE|Q80WC7","Agfg2","Arf-GAP domain and FG repeat-containing protein 2",2.44,0.000583
"217","AGK_MOUSE|Q9ESW4","Agk","Acylglycerol kinase, mitochondrial",1.33,0.0499
"218","AGM1_MOUSE|Q9CYR6","Pgm3","Phosphoacetylglucosamine mutase",1.36,0.0302
"219","AGO1_MOUSE|Q8CJG1","Ago1","Protein argonaute-1",1.41,0.00493
"220","AGO2_MOUSE|Q8CJG0","Ago2","Protein argonaute-2",1.57,0.00152
"221","AGO3_MOUSE|Q8CJF9","Ago3","Protein argonaute-3",1.25,0.0155
"222","AGRA1_MOUSE|Q8C4G9",NA,NA,2.39,0.000564
"223","AGRB2_MOUSE|Q8CGM1",NA,NA,1.96,0.00136
"224","AGRB3_MOUSE|Q80ZF8",NA,NA,2.71,0.000582
"225","AGRIN_MOUSE|A2ASQ1","Agrn","Agrin",1.06,0.922
"226","AGRL1_MOUSE|Q80TR1",NA,NA,1.81,0.00153
"227","AGRL3_MOUSE|Q80TS3",NA,NA,2.47,0.000657
"228","AHDC1_MOUSE|Q6PAL7","Ahdc1","AT-hook DNA-binding motif-containing protein 1",1.9,0.0527
"229","AHI1_MOUSE|Q8K3E5","Ahi1","Jouberin",2.86,0.000131
"230","AHSA1_MOUSE|Q8BK64","Ahsa1","Activator of 90 kDa heat shock protein ATPase homolog 1",1.79,0.00098
"231","AHSA2_MOUSE|Q8N9S3","Ahsa2","Activator of 90 kDa heat shock protein ATPase homolog 2",1.56,0.00891
"232","AIDA_MOUSE|Q8C4Q6","Aida","Axin interactor, dorsalization-associated protein",1.44,0.0363
"233","AIFM1_MOUSE|Q9Z0X1","Aifm1","Apoptosis-inducing factor 1, mitochondrial",1.3,0.102
"234","AIFM3_MOUSE|Q3TY86","Aifm3","Apoptosis-inducing factor 3",1.51,0.00871
"235","AIMP1_MOUSE|P31230","Aimp1","Aminoacyl tRNA synthase complex-interacting multifunctional protein 1",1.24,0.155
"236","AIMP2_MOUSE|Q8R010","Aimp2","Aminoacyl tRNA synthase complex-interacting multifunctional protein 2",1.45,0.0791
"237","AINX_MOUSE|P46660","Ina","Alpha-internexin",2.89,0.000372
"238","AIP_MOUSE|O08915","Aip","AH receptor-interacting protein",1.42,0.000552
"239","AK1A1_MOUSE|Q9JII6","Akr1a1","Alcohol dehydrogenase [NADP(+)]",1.49,0.0496
"240","AKA10_MOUSE|O88845","Akap10","A-kinase anchor protein 10, mitochondrial",1.88,0.000746
"241","AKA12_MOUSE|Q9WTQ5","Akap12","A-kinase anchor protein 12",3.01,0.000473
"242","AKA7A_MOUSE|O55074","Akap7","A-kinase anchor protein 7 isoform alpha",2.14,0.000237
"243","AKAP1_MOUSE|O08715","Akap1","A-kinase anchor protein 1, mitochondrial",2.62,0.000664
"244","AKAP2_MOUSE|O54931","Akap2","A-kinase anchor protein 2",3.31,0.000367
"245","AKAP5_MOUSE|D3YVF0","Akap5","A-kinase anchor protein 5",2.14,0.00169
"246","AKAP9_MOUSE|Q70FJ1","Akap9","A-kinase anchor protein 9",2.68,0.00104
"247","AKCL2_MOUSE|Q9DCT1","Akr1e2","1,5-anhydro-D-fructose reductase",1.38,0.0721
"248","AKIP_MOUSE|Q9DCJ7","Aurkaip1","Aurora kinase A-interacting protein",-1.34,0.159
"249","AKP13_MOUSE|E9Q394",NA,NA,1.94,0.00527
"250","AKT1_MOUSE|P31750","Akt1","RAC-alpha serine/threonine-protein kinase",1.36,0.113
"251","AKT3_MOUSE|Q9WUA6","Akt3","RAC-gamma serine/threonine-protein kinase",1.48,0.05
"252","AKTS1_MOUSE|Q9D1F4","Akt1s1","Proline-rich AKT1 substrate 1",1.87,0.000111
"253","AL1A1_MOUSE|P24549","Aldh1a1","Retinal dehydrogenase 1",1.32,0.017
"254","AL1A3_MOUSE|Q9JHW9","Aldh1a3","Aldehyde dehydrogenase family 1 member A3",1.32,0.00611
"255","AL1B1_MOUSE|Q9CZS1","Aldh1b1","Aldehyde dehydrogenase X, mitochondrial",1.42,0.118
"256","AL1L1_MOUSE|Q8R0Y6","Aldh1l1","Cytosolic 10-formyltetrahydrofolate dehydrogenase",1.34,0.0168
"257","AL1L2_MOUSE|Q8K009","Aldh1l2","Mitochondrial 10-formyltetrahydrofolate dehydrogenase",-1.05,0.811
"258","AL3A2_MOUSE|P47740","Aldh3a2","Fatty aldehyde dehydrogenase",1.35,0.0341
"259","AL3B1_MOUSE|Q80VQ0","Aldh3b1","Aldehyde dehydrogenase family 3 member B1",1.26,0.166
"260","AL4A1_MOUSE|Q8CHT0","Aldh4a1","Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",1.27,0.0793
"261","AL7A1_MOUSE|Q9DBF1","Aldh7a1","Alpha-aminoadipic semialdehyde dehydrogenase",1.4,0.0347
"262","AL9A1_MOUSE|Q9JLJ2","Aldh9a1","4-trimethylaminobutyraldehyde dehydrogenase",1.41,0.0176
"263","ALAT1_MOUSE|Q8QZR5","Gpt","Alanine aminotransferase 1",1.63,0.0108
"264","ALAT2_MOUSE|Q8BGT5","Gpt2","Alanine aminotransferase 2",1.2,0.038
"265","ALBU_MOUSE|P07724","Alb","Serum albumin",1.22,0.376
"266","ALDH2_MOUSE|P47738","Aldh2","Aldehyde dehydrogenase, mitochondrial",1.46,0.0388
"267","ALDOA_MOUSE|P05064","Aldoa","Fructose-bisphosphate aldolase A",1.43,0.0062
"268","ALDOC_MOUSE|P05063","Aldoc","Fructose-bisphosphate aldolase C",1.41,0.0478
