"";"Protein";"Label";"log2FC";"SE";"DF";"pvalue";"adj.pvalue";"issue";"GeneName";"ProName"
"48";"A0A0R4J0I1_MOUSE|A0A0R4J0I1";"WtBvsALL";-0,510788398132569;1,22334039623701;14,2763805721369;0,682498013878808;0,693123731460155;NA;"Serpina3k";"Serine protease inhibitor A3K"
"49";"A0A0R4J117_MOUSE|A0A0R4J117";"WtBvsALL";-1,7494621626455;0,406560834203292;14,2763805721369;0,000698774578796191;0,000898500140741728;NA;"Igsf8";"Immunoglobulin superfamily member 8"
"50";"A0A0R4J124_MOUSE|A0A0R4J124";"WtBvsALL";0,743463380979231;0,269027151569173;14,2763805721369;0,0150160411346068;0,0170121614991939;NA;"Srpk2";"SRSF protein kinase 2"
"51";"A0A0R4J1I8_MOUSE|A0A0R4J1I8";"WtBvsALL";8,76243906894209;0,659083450316958;14,2763805721369;1,95302196720073e-09;2,16021212372116e-08;NA;"Nyap2";"Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 2"
"52";"A0A0R4J2C2_MOUSE|A0A0R4J2C2";"WtBvsALL";2,3089725801276;0,267447954510207;14,2763805721369;4,82449903911027e-07;1,465495588716e-06;NA;"Syt2";"Synaptotagmin"
"53";"A0A140LHX5_MOUSE|A0A140LHX5";"WtBvsALL";0,539440705889328;0,194887515117552;14,2763805721369;0,0148848651222915;0,0168673037287793;NA;"Unc13b";"Protein unc-13 homolog B"
"54";"A0A140LIW3_MOUSE|A0A140LIW3";"WtBvsALL";5,4237933566336;0,398250849656843;14,2763805721369;1,41775571404903e-09;1,75940026172719e-08;NA;"Frmpd3";"FERM and PDZ domain-containing 3"
"55";"A0A140LJD2_MOUSE|A0A140LJD2";"WtBvsALL";2,87584996763584;0,234187337307431;14,2763805721369;5,56900506326061e-09;4,28670162811951e-08;NA;"Tanc2";"Protein TANC2 (Fragment)"
"56";"A0A1B0GR85_MOUSE|A0A1B0GR85";"WtBvsALL";6,9866231745229;0,541537013517007;14,2763805721369;2,90742548043998e-09;2,72430586454486e-08;NA;"2900026A02Rik";"RIKEN cDNA 2900026A02 gene"
"57";"A0A1D5RLA1_MOUSE|A0A1D5RLA1";"WtBvsALL";-1,04523671471657;0,369347604566148;14,2763805721369;0,0131636745926373;0,0149702226927445;NA;"Itpr1";"Inositol 1,4,5-trisphosphate receptor type 1 (Fragment)"
"58";"A0A1D5RLD2_MOUSE|A0A1D5RLD2";"WtBvsALL";-0,377933580078135;0,193552702474026;14,2763805721369;0,0707573534372391;0,0764671795985093;NA;"Agap1";"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 (Fragment)"
"59";"A0A1D5RLG3_MOUSE|A0A1D5RLG3";"WtBvsALL";-0,350054376461159;0,207913601250005;14,2763805721369;0,113978962763417;0,121832975323586;NA;"Rab3gap1";"Rab3 GTPase-activating protein catalytic subunit"
"60";"A0A1D5RLM8_MOUSE|A0A1D5RLM8";"WtBvsALL";-3,58809358845794;0,326761402917773;14,2763805721369;2,38086561193805e-08;1,29837558773213e-07;NA;"Gm11639";"Predicted gene 11639"
"61";"A0A1D5RM83_MOUSE|A0A1D5RM83";"WtBvsALL";2,46037180894994;0,196468244080055;14,2763805721369;4,30563015524602e-09;3,56350039746654e-08;NA;"Iqsec1";"IQ motif and SEC7 domain-containing protein 1"
"62";"A0A1D5RM99_MOUSE|A0A1D5RM99";"WtBvsALL";4,71253776023022;0,498225046505991;14,2763805721369;1,57257760746075e-07;5,76036649750475e-07;NA;"Ccdc149";"Coiled-coil domain-containing 149 (Fragment)"
"63";"A0A1D5RMM1_MOUSE|A0A1D5RMM1";"WtBvsALL";-2,05485369586233;0,271767165311725;14,2763805721369;2,32705661790623e-06;5,56655574607753e-06;NA;"Dock9";"Dedicator of cytokinesis protein 9"
"64";"A0A1L1SSA4_MOUSE|A0A1L1SSA4";"WtBvsALL";5,4785696369873;0,471828360426209;12,2763805721369;5,55214608637979e-08;2,4933203254634e-07;NA;"Cep164";"Centrosomal protein of 164 kDa"
"65";"A0A1L1SUN4_MOUSE|A0A1L1SUN4";"WtBvsALL";6,44327643412904;0,523719071235324;13,2763805721369;1,22881320833371e-08;7,81747028250122e-08;NA;"Map7";"Ensconsin (Fragment)"
"66";"A0A1L1SVJ6_MOUSE|A0A1L1SVJ6";"WtBvsALL";-1,51389075934558;0,269948821754669;14,2763805721369;5,99965569654607e-05;9,36387981105104e-05;NA;"Actn4";"Alpha-actinin-4 (Fragment)"
"67";"A0A1W2P772_MOUSE|A0A1W2P772";"WtBvsALL";-1,24206800042229;0,194005194348786;14,2763805721369;1,50304007996651e-05;2,76581118512463e-05;NA;"Atp2b1";"Plasma membrane calcium-transporting ATPase 1 (Fragment)"
"68";"A0A1W2P7W6_MOUSE|A0A1W2P7W6";"WtBvsALL";4,79660640393108;0,371859286378664;14,2763805721369;2,91484301614969e-09;2,72623552686941e-08;NA;"Fam184a";"Family with sequence similarity 184, member A (Fragment)"
"69";"A0A1W2P872_MOUSE|A0A1W2P872";"WtBvsALL";0,0938169396503478;0,16118966934149;14,2763805721369;0,569625452219957;0,581978775280149;NA;"Nova2";"RNA-binding protein Nova-2"
"70";"A0A1W2P8G5_MOUSE|A0A1W2P8G5";"WtBvsALL";-2,67144512577151;0,400492796246267;14,2763805721369;9,60561285597749e-06;1,87110866045993e-05;NA;"Utrn";"Utrophin (Fragment)"
"71";"A0A1Y7VNZ6_MOUSE|A0A1Y7VNZ6";"WtBvsALL";-0,220707241180514;0,143606812391544;14,2763805721369;0,146184984935013;0,154956084031114;NA;"Mark3";"Non-specific serine/threonine protein kinase (EC 2.7.11.1)"
"72";"A0AUN0_MOUSE|A0AUN0";"WtBvsALL";-0,269246428237231;0,15547529179354;14,2763805721369;0,104857566391564;0,112319010063216;NA;"Sec23ip";"Sec23ip protein (Fragment)"
"73";"A0JLN1_MOUSE|A0JLN1";"WtBvsALL";-1,68816558759488;0,167063906345814;14,2763805721369;6,86892380154743e-08;2,95677532168133e-07;NA;"Srp72";"Srp72 protein (Fragment)"
"74";"A0JLR7_MOUSE|A0JLR7";"WtBvsALL";-1,29002187294906;0,304395682822683;14,2763805721369;0,00079382702516971;0,0010130403571767;NA;"Ahnak";"Ahnak protein (Fragment)"
"75";"A16L1_MOUSE|Q8C0J2";"WtBvsALL";-1,5403615906753;0,304075549232817;14,2763805721369;0,000162221395381436;0,00023081164980446;NA;"Atg16l1";"Autophagy-related protein 16-1 (APG16-like 1)"
"76";"A1AT1_MOUSE|P07758";"WtBvsALL";-1,81328660725426;0,604138452104273;14,2763805721369;0,00935481619353009;0,0107540227728606;NA;"Serpina1a";"Alpha-1-antitrypsin 1-1 (AAT) (Alpha-1 protease inhibitor 1) (Alpha-1-antiproteinase) (Serine protease inhibitor 1-1) (Serine protease inhibitor A1a) (Serpin A1a)"
"77";"A1AT2_MOUSE|P22599";"WtBvsALL";-2,2301789422605;0,605430079387108;14,2763805721369;0,00238342949738341;0,0028914852843793;NA;"Serpina1b";"Alpha-1-antitrypsin 1-2 (AAT) (Alpha-1 protease inhibitor 2) (Alpha-1-antiproteinase) (Serine protease inhibitor 1-2) (Serine protease inhibitor A1b) (Serpin A1b)"
"78";"A1BN54_MOUSE|A1BN54";"WtBvsALL";-2,08978934770795;0,180809292658475;14,2763805721369;1,22822656316389e-08;7,81747028250122e-08;NA;"Actn1";"Alpha actinin 1a (Alpha-actinin-1)"
"79";"A1ILI2_MOUSE|A1ILI2";"WtBvsALL";-0,340416247271382;0,230660762570202;14,2763805721369;0,161702826520594;0,171333607108868;NA;"Vps13a";"Uncharacterized protein Vps13a 3' variant II (Uncharacterized protein Vps13a 3' variant IV) (Fragment)"
"80";"A1L3P4_MOUSE|A1L3P4";"WtBvsALL";-1,14638114064539;0,253880949118579;14,2763805721369;0,000462285691037433;0,000610303475868827;NA;"Slc9a6";"Sodium/hydrogen exchanger"
"81";"A2A5V2_MOUSE|A2A5V2";"WtBvsALL";-0,477061016218037;0,244332740921543;14,2763805721369;0,0707712163383216;0,0764671795985093;NA;"Sh3bp1";"SH3 domain-binding protein 1"
"82";"A2A5Y6_MOUSE|A2A5Y6";"WtBvsALL";-1,41303634446267;0,298682004275879;14,2763805721369;0,00030547724158795;0,000414250587739736;NA;"Mapt";"Microtubule-associated protein"
"83";"A2A8R0_MOUSE|A2A8R0";"WtBvsALL";2,38637298195618;0,310987984259633;14,2763805721369;1,96007879728173e-06;4,81110731865092e-06;NA;"Zfyve9";"Zinc finger FYVE domain-containing protein"
"84";"A2ACM0_MOUSE|A2ACM0";"WtBvsALL";-0,951977125053505;0,170931580273701;14,2763805721369;6,43279616141524e-05;9,94834859248655e-05;NA;"Rptor";"Regulatory-associated protein of mTOR"
"85";"A2AE27_MOUSE|A2AE27";"WtBvsALL";0,48283305073628;0,196928944921439;14,2763805721369;0,0276544257006977;0,0306548405152832;NA;"Ampd2";"AMP deaminase (EC 3.5.4.6)"
"86";"A2AEV7_MOUSE|A2AEV7";"WtBvsALL";4,01920809580902;0,427236309024957;13,2763805721369;3,06527631024699e-07;9,9377999943074e-07;NA;"Ccdc120";"Coiled-coil domain-containing protein 120"
"87";"A2AEW8_MOUSE|A2AEW8";"WtBvsALL";6,07370433764404;0,80427735092694;12,2763805721369;5,89523167163556e-06;1,22980478660442e-05;NA;"Gripap1";"GRIP1-associated protein 1 (Gripap1 protein)"
"88";"A2AI20_MOUSE|A2AI20";"WtBvsALL";0,257615519614989;0,210619410250433;14,2763805721369;0,241086233254119;0,252812604038944;NA;"Grin1";"Glutamate receptor"
"89";"A2AIX1_MOUSE|A2AIX1";"WtBvsALL";6,76503699786643;0,552103946813054;14,2763805721369;5,73168362476561e-09;4,39198889801317e-08;NA;"Sec16a";"Protein transport protein Sec16A (SEC16 homolog A) (p250)"
"90";"A2AJW4_MOUSE|A2AJW4";"WtBvsALL";-1,54385223092456;0,240287589954028;14,2763805721369;1,44639612378911e-05;2,67706928986503e-05;NA;"Ppp1r3d";"Protein phosphatase 1 regulatory subunit"
"91";"A2AJW5_MOUSE|A2AJW5";"WtBvsALL";3,59202691851631;0,391968119615378;14,2763805721369;2,3265370178109e-07;7,94457741384016e-07;NA;"Fam217b";"Family with sequence similarity 217, member B"
"92";"A2ALK6_MOUSE|A2ALK6";"WtBvsALL";4,05946312830764;0,288697390999234;14,2763805721369;9,25476580755712e-10;1,33971059567546e-08;NA;"Epb41l4b";"Band 4.1-like protein 4B"
"93";"A2ALS7_MOUSE|A2ALS7";"WtBvsALL";0,487134659850313;0,191574906094869;14,2763805721369;0,0231729276662849;0,0258038153853394;NA;"Rap1gap";"Rap1 GTPase-activating protein 1 (Fragment)"
"94";"A2AS98_MOUSE|A2AS98";"WtBvsALL";-1,95719014312984;0,277818768319545;14,2763805721369;5,22524034319569e-06;1,10468314341418e-05;NA;"Nckap1";"Nck-associated protein 1"
"95";"A2AT37_MOUSE|A2AT37";"WtBvsALL";-0,292456810871636;0,176742479369269;14,2763805721369;0,119794394150087;0,127834286374925;NA;"Upf2";"Regulator of nonsense transcripts 2 (Up-frameshift suppressor 2 homolog) (Upf2)"
"96";"A2ATK9_MOUSE|A2ATK9";"WtBvsALL";6,76234696322223;0,553487077180743;14,2763805721369;5,95375950958135e-09;4,53483957855538e-08;NA;"Fam171a1";"Family with sequence similarity 171, member A1"
"97";"A2AUK8_MOUSE|A2AUK8";"WtBvsALL";5,64331316584538;0,379975432113108;14,2763805721369;4,44265933369715e-10;8,411580850122e-09;NA;"Epb41l1";"Band 4.1-like protein 1"
"98";"A2AWI7_MOUSE|A2AWI7";"WtBvsALL";-0,762811661904884;0,237782063442897;14,2763805721369;0,00618583578983736;0,00722698794459069;NA;"Sh3glb2";"Endophilin-B2"
"99";"A2MG_MOUSE|Q6GQT1";"WtBvsALL";-3,45343498945607;0,233669562153417;14,2763805721369;4,74570989265847e-10;8,84475162411953e-09;NA;"A2m";"Alpha-2-macroglobulin-P (Alpha-2-macroglobulin)"
"100";"A2RTH5_MOUSE|A2RTH5";"WtBvsALL";-1,65039656278599;0,284020860965823;14,2763805721369;4,17877407722715e-05;6,80153630995896e-05;NA;"Lcmt1";"Leucine carboxyl methyltransferase 1 (EC 2.1.1.233)"
"101";"A2VCS7_MOUSE|A2VCS7";"WtBvsALL";5,76586752464706;0,3839640548539;14,2763805721369;3,82867641007562e-10;7,56245466339313e-09;NA;"Armcx4";"Armcx4 protein (Fragment)"
"102";"A4_MOUSE|P12023";"WtBvsALL";-2,30578252225201;0,421708042339871;14,2763805721369;7,73171625471545e-05;0,000117324701175044;NA;"App";"Amyloid-beta precursor protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Amyloidogenic glycoprotein) (AG) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (APP-C99) (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (APP-C59) (Amyloid intracellular domain 59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (APP-C57) (Amyloid intracellular domain 57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AID(50)) (Gamma-CTF(50)); C31]"
"103";"A6ZI46_MOUSE|A6ZI46";"WtBvsALL";-2,16800777965481;0,263021222837414;14,2763805721369;8,42269913298568e-07;2,34050754716718e-06;NA;"Aldoart1";"Fructose-bisphosphate aldolase (EC 4.1.2.13)"
"104";"A8DUK4_MOUSE|A8DUK4";"WtBvsALL";-0,327006595481497;1,94965320664446;14,2763805721369;0,869152017188071;0,87553286860428;NA;"Hbb-bs";"Beta-globin (Globin a1) (Hemoglobin, beta adult s chain) (Hemoglobin, beta adult t chain)"
"105";"A8DUN2_MOUSE|A8DUN2";"WtBvsALL";-3,52393735286364;0,289263721618215;14,2763805721369;6,18365615359757e-09;4,67495431047614e-08;NA;"Hbbt1";"Beta-globin"
"106";"AACS_MOUSE|Q9D2R0";"WtBvsALL";0,834018743563186;0,199491508251409;14,2763805721369;0,000888336875458898;0,00112855381331707;NA;"Aacs";"Acetoacetyl-CoA synthetase (EC 6.2.1.16)"
