Gene,Protein,Description,p_Value,Log2FC
NA,A0A1L1SVJ6_MOUSE|A0A1L1SVJ6,NA,2.62E-02,4.76E-01
NA,A0A1W2P772_MOUSE|A0A1W2P772,NA,3.79E-04,7.28E-01
NA,A0A1W2P7W6_MOUSE|A0A1W2P7W6,NA,6.92E-04,1.39E+00
NA,A0A1W2P872_MOUSE|A0A1W2P872,NA,3.09E-04,1.02E+00
NA,A0A1W2P8G5_MOUSE|A0A1W2P8G5,NA,7.51E-01,6.35E-02
NA,A0A1Y7VNZ6_MOUSE|A0A1Y7VNZ6,NA,1.67E-03,7.67E-01
Sec23ip,A0AUN0_MOUSE|A0AUN0,Sec23ip protein,2.20E-03,7.65E-01
Srp72,A0JLN1_MOUSE|A0JLN1,Srp72 protein,4.21E-03,4.32E-01
Ahnak,A0JLR7_MOUSE|A0JLR7,Ahnak protein,9.28E-02,4.48E-01
Atg16l1,A16L1_MOUSE|Q8C0J2,Autophagy-related protein 16-1,3.70E-02,5.30E-01
Serpina1a,A1AT1_MOUSE|P07758,Alpha-1-antitrypsin 1-1,8.63E-02,7.70E-01
Serpina1b,A1AT2_MOUSE|P22599,Alpha-1-antitrypsin 1-2,1.76E-01,5.46E-01
Actn1,A1BN54_MOUSE|A1BN54,Alpha actinin 1a,8.66E-02,2.65E-01
Vps13a,A1ILI2_MOUSE|A1ILI2,Putative uncharacterized protein Vps13a 3' variant II,2.07E-03,8.47E-01
Slc9a6,A1L3P4_MOUSE|A1L3P4,Protein Slc9a6,6.54E-02,4.71E-01
Sh3bp1,A2A5V2_MOUSE|A2A5V2,SH3 domain-binding protein 1,4.82E-03,6.39E-01
Mapt,A2A5Y6_MOUSE|A2A5Y6,Microtubule-associated protein,5.93E-04,7.45E-01
Zfyve9,A2A8R0_MOUSE|A2A8R0,MCG17975,2.63E-03,1.29E+00
Rptor,A2ACM0_MOUSE|A2ACM0,Regulatory-associated protein of mTOR,1.75E-03,6.78E-01
Ampd2,A2AE27_MOUSE|A2AE27,AMP deaminase 2,4.95E-04,1.05E+00
Grin1,A2AI20_MOUSE|A2AI20,"Glutamate receptor ionotropic, NMDA 1",4.57E-04,1.09E+00
Sec16a,A2AIX1_MOUSE|A2AIX1,Protein Sec16a,5.74E-04,1.54E+00
Ppp1r3d,A2AJW4_MOUSE|A2AJW4,MCG51138,1.06E-02,5.40E-01
Fam217b,A2AJW5_MOUSE|A2AJW5,Protein Fam217b,9.30E-04,1.31E+00
Epb4.1l4b,A2ALK6_MOUSE|A2ALK6,Band 4.1-like protein 4B,2.79E-04,1.62E+00
Rap1gap,A2ALS7_MOUSE|A2ALS7,Rap1 GTPase-activating protein 1,4.45E-03,8.65E-01
Nckap1,A2AS98_MOUSE|A2AS98,Nck-associated protein 1,5.92E-04,5.23E-01
Upf2,A2AT37_MOUSE|A2AT37,Protein Upf2,1.08E-03,8.47E-01
Fam171a1,A2ATK9_MOUSE|A2ATK9,"Family with sequence similarity 171, member A1",1.33E-03,1.21E+00
Epb4.1l1,A2AUK8_MOUSE|A2AUK8,Band 4.1-like protein 1,2.73E-04,1.76E+00
Sh3glb2,A2AWI7_MOUSE|A2AWI7,Endophilin-B2,1.25E-03,7.48E-01
NA,A2MG_MOUSE|Q6GQT1,NA,7.80E-02,-2.11E-01
Lcmt1,A2RTH5_MOUSE|A2RTH5,Leucine carboxyl methyltransferase 1,8.50E-02,5.32E-01
Armcx4,A2VCS7_MOUSE|A2VCS7,Armcx4 protein,5.54E-04,1.51E+00
Aldoart1,A6ZI46_MOUSE|A6ZI46,Aldolase A retroprotein 1,2.19E-03,4.23E-01
Hbbt1,A8DUK4_MOUSE|A8DUK4,Beta-globin,9.94E-01,5.86E-01
Hbbt1,A8DUN2_MOUSE|A8DUN2,Beta-globin,2.11E-02,-3.65E-01
Aacs,AACS_MOUSE|Q9D2R0,Acetoacetyl-CoA synthetase,3.76E-04,1.15E+00
Aak1,AAK1_MOUSE|Q3UHJ0,AP2-associated protein kinase 1,7.22E-04,1.50E+00
Prkab2,AAKB2_MOUSE|Q6PAM0,5'-AMP-activated protein kinase subunit beta-2,3.49E-03,8.52E-01
Prkag1,AAKG1_MOUSE|O54950,5'-AMP-activated protein kinase subunit gamma-1,3.38E-02,5.24E-01
Aamdc,AAMDC_MOUSE|Q8R0P4,Mth938 domain-containing protein,3.31E-01,2.43E-01
Prkaa1,AAPK1_MOUSE|Q5EG47,5'-AMP-activated protein kinase catalytic subunit alpha-1,5.25E-04,8.51E-01
Prkaa2,AAPK2_MOUSE|Q8BRK8,5'-AMP-activated protein kinase catalytic subunit alpha-2,3.46E-03,5.78E-01
Aarsd1,AASD1_MOUSE|Q3THG9,Alanyl-tRNA editing protein Aarsd1,4.62E-02,5.04E-01
Aass,AASS_MOUSE|Q99K67,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",4.59E-02,7.75E-01
Got1,AATC_MOUSE|P05201,"Aspartate aminotransferase, cytoplasmic",3.44E-01,3.82E-01
Got2,AATM_MOUSE|P05202,"Aspartate aminotransferase, mitochondrial",3.29E-01,3.40E-01
Abca2,ABCA2_MOUSE|P41234,ATP-binding cassette sub-family A member 2,4.93E-03,4.85E-01
Abca7,ABCA7_MOUSE|Q91V24,ATP-binding cassette sub-family A member 7,6.52E-03,4.89E-01
Abcb7,ABCB7_MOUSE|Q61102,"ATP-binding cassette sub-family B member 7, mitochondrial",1.53E-02,4.15E-01
Abcb8,ABCB8_MOUSE|Q9CXJ4,"ATP-binding cassette sub-family B member 8, mitochondrial",6.85E-02,3.87E-01
Abcb9,ABCB9_MOUSE|Q9JJ59,ATP-binding cassette sub-family B member 9,1.19E-01,3.31E-01
Abcb11,ABCBB_MOUSE|Q9QY30,Bile salt export pump,2.83E-02,5.12E-01
Abcd3,ABCD3_MOUSE|P55096,ATP-binding cassette sub-family D member 3,3.24E-02,4.47E-01
Abce1,ABCE1_MOUSE|P61222,ATP-binding cassette sub-family E member 1,9.14E-03,3.97E-01
Abcf1,ABCF1_MOUSE|Q6P542,ATP-binding cassette sub-family F member 1,6.81E-03,4.99E-01
Abcf2,ABCF2_MOUSE|Q99LE6,ATP-binding cassette sub-family F member 2,1.18E-02,4.01E-01
Abcf3,ABCF3_MOUSE|Q8K268,ATP-binding cassette sub-family F member 3,2.36E-03,6.53E-01
Abhd12,ABD12_MOUSE|Q99LR1,Monoacylglycerol lipase ABHD12,1.58E-03,7.31E-01
Abhd6,ABHD6_MOUSE|Q8R2Y0,Monoacylglycerol lipase ABHD6,5.24E-03,6.36E-01
Abhd14b,ABHEB_MOUSE|Q8VCR7,Alpha/beta hydrolase domain-containing protein 14B,1.24E-01,3.33E-01
Abhd16a,ABHGA_MOUSE|Q9Z1Q2,Abhydrolase domain-containing protein 16A,3.25E-02,5.33E-01
Abi1,ABI1_MOUSE|Q8CBW3,Abl interactor 1,8.48E-04,1.38E+00
Abi2,ABI2_MOUSE|P62484,Abl interactor 2,9.30E-04,1.28E+00
Abl1,ABL1_MOUSE|P00520,Tyrosine-protein kinase ABL1,8.66E-04,9.47E-01
Abl2,ABL2_MOUSE|Q4JIM5,Abelson tyrosine-protein kinase 2,9.18E-04,1.08E+00
Ablim1,ABLM1_MOUSE|Q8K4G5,Actin-binding LIM protein 1,6.43E-04,1.38E+00
Ablim2,ABLM2_MOUSE|Q8BL65,Actin-binding LIM protein 2,4.07E-04,1.70E+00
Ablim3,ABLM3_MOUSE|Q69ZX8,Actin-binding LIM protein 3,4.88E-04,1.55E+00
Abr,ABR_MOUSE|Q5SSL4,Active breakpoint cluster region-related protein,1.40E-03,6.58E-01
NA,ABRX2_MOUSE|Q3TCJ1,NA,1.43E-03,7.79E-01
Acaca,ACACA_MOUSE|Q5SWU9,Acetyl-CoA carboxylase 1,1.23E-01,3.11E-01
Acacb,ACACB_MOUSE|E9Q4Z2,Acetyl-CoA carboxylase 2,4.61E-02,3.15E-01
Acad8,ACAD8_MOUSE|Q9D7B6,"Isobutyryl-CoA dehydrogenase, mitochondrial",2.24E-02,4.12E-01
Acad9,ACAD9_MOUSE|Q8JZN5,"Acyl-CoA dehydrogenase family member 9, mitochondrial",1.99E-02,4.91E-01
Acadl,ACADL_MOUSE|P51174,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",2.33E-01,2.39E-01
Acadm,ACADM_MOUSE|P45952,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",4.60E-01,1.39E-01
Acads,ACADS_MOUSE|Q07417,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",3.24E-01,1.78E-01
Acadvl,ACADV_MOUSE|P50544,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",2.49E-02,3.54E-01
Acap2,ACAP2_MOUSE|Q6ZQK5,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",1.23E-03,7.64E-01
Acbd5,ACBD5_MOUSE|Q5XG73,Acyl-CoA-binding domain-containing protein 5,1.97E-03,1.50E+00
Acbd6,ACBD6_MOUSE|Q9D061,Acyl-CoA-binding domain-containing protein 6,1.07E-03,8.90E-01
Acsbg1,ACBG1_MOUSE|Q99PU5,Long-chain-fatty-acid--CoA ligase ACSBG1,2.38E-02,5.85E-01
Dbi,ACBP_MOUSE|P31786,Acyl-CoA-binding protein,4.33E-01,9.76E-03
Acadsb,ACDSB_MOUSE|Q9DBL1,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",4.84E-02,5.14E-01
Ache,ACES_MOUSE|P21836,Acetylcholinesterase,2.61E-02,6.83E-01
Acin1,ACINU_MOUSE|Q9JIX8,Apoptotic chromatin condensation inducer in the nucleus,3.87E-04,1.37E+00
Actl6a,ACL6A_MOUSE|Q9Z2N8,Actin-like protein 6A,9.23E-04,3.32E-01
Acly,ACLY_MOUSE|Q91V92,ATP-citrate synthase,3.45E-03,4.52E-01
Chrm1,ACM1_MOUSE|P12657,Muscarinic acetylcholine receptor M1,4.51E-03,6.92E-01
Chrm4,ACM4_MOUSE|P32211,Muscarinic acetylcholine receptor M4,6.41E-04,9.04E-01
Acot10,ACO10_MOUSE|Q32MW3,"Acyl-coenzyme A thioesterase 10, mitochondrial",6.72E-02,4.62E-01
Acot11,ACO11_MOUSE|Q8VHQ9,Acyl-coenzyme A thioesterase 11,8.39E-02,4.25E-01
Acot13,ACO13_MOUSE|Q9CQR4,Acyl-coenzyme A thioesterase 13,2.52E-01,3.25E-01
Aco1,ACOC_MOUSE|P28271,Cytoplasmic aconitate hydratase,2.84E-02,5.16E-01
Aco2,ACON_MOUSE|Q99KI0,"Aconitate hydratase, mitochondrial",8.06E-02,4.89E-01
Acot1,ACOT1_MOUSE|O55137,Acyl-coenzyme A thioesterase 1,1.28E-01,3.08E-01
Acot2,ACOT2_MOUSE|Q9QYR9,"Acyl-coenzyme A thioesterase 2, mitochondrial",1.59E-01,3.47E-01
Acot9,ACOT9_MOUSE|Q9R0X4,"Acyl-coenzyme A thioesterase 9, mitochondrial",7.85E-02,5.53E-01
Acox3,ACOX3_MOUSE|Q9EPL9,Peroxisomal acyl-coenzyme A oxidase 3,3.94E-02,4.50E-01
Ndufab1,ACPM_MOUSE|Q9CR21,"Acyl carrier protein, mitochondrial",6.46E-01,1.73E-02
Acss1,ACS2L_MOUSE|Q99NB1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",1.63E-02,4.34E-01
Acss2,ACSA_MOUSE|Q9QXG4,"Acetyl-coenzyme A synthetase, cytoplasmic",5.29E-03,7.60E-01
Acsf2,ACSF2_MOUSE|Q8VCW8,"Acyl-CoA synthetase family member 2, mitochondrial",1.67E-02,7.29E-01
Acsf3,ACSF3_MOUSE|Q3URE1,"Acyl-CoA synthetase family member 3, mitochondrial",3.24E-02,5.98E-01
Acsl1,ACSL1_MOUSE|P41216,Long-chain-fatty-acid--CoA ligase 1,4.40E-02,4.91E-01
Acsl3,ACSL3_MOUSE|Q9CZW4,Long-chain-fatty-acid--CoA ligase 3,6.64E-03,5.70E-01
Acsl4,ACSL4_MOUSE|Q9QUJ7,Long-chain-fatty-acid--CoA ligase 4,1.41E-02,4.14E-01
Acsl6,ACSL6_MOUSE|Q91WC3,Long-chain-fatty-acid--CoA ligase 6,7.56E-03,6.01E-01
Acta2,ACTA_MOUSE|P62737,"Actin, aortic smooth muscle",1.23E-01,4.07E-01
Actb,ACTB_MOUSE|P60710,"Actin, cytoplasmic 1",1.28E-01,3.30E-01
Actbl2,ACTBL_MOUSE|Q8BFZ3,Beta-actin-like protein 2,2.42E-01,2.82E-01
Actn1,ACTN1_MOUSE|Q7TPR4,Alpha-actinin-1,6.69E-02,2.58E-01
Actn2,ACTN2_MOUSE|Q9JI91,Alpha-actinin-2,1.63E-02,5.08E-01
Actn4,ACTN4_MOUSE|P57780,Alpha-actinin-4,2.86E-01,1.11E-01
Actr1b,ACTY_MOUSE|Q8R5C5,Beta-centractin,1.46E-01,4.07E-01
Actr1a,ACTZ_MOUSE|P61164,Alpha-centractin,1.35E-01,4.39E-01
Aspa,ACY2_MOUSE|Q8R3P0,Aspartoacylase,1.02E-01,4.42E-01
Acyp1,ACYP1_MOUSE|P56376,Acylphosphatase-1,2.57E-03,8.37E-01
Acyp2,ACYP2_MOUSE|P56375,Acylphosphatase-2,1.01E-02,3.12E-01
Adam10,ADA10_MOUSE|O35598,Disintegrin and metalloproteinase domain-containing protein 10,3.97E-01,2.24E-01
Adam11,ADA11_MOUSE|Q9R1V4,Disintegrin and metalloproteinase domain-containing protein 11,4.01E-02,2.90E-01
Adam22,ADA22_MOUSE|Q9R1V6,Disintegrin and metalloproteinase domain-containing protein 22,2.86E-03,6.17E-01
Adam23,ADA23_MOUSE|Q9R1V7,Disintegrin and metalloproteinase domain-containing protein 23,4.56E-02,5.11E-01
Agps,ADAS_MOUSE|Q8C0I1,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",2.42E-02,3.24E-01
Adck1,ADCK1_MOUSE|Q9D0L4,Uncharacterized aarF domain-containing protein kinase 1,3.21E-02,3.54E-01
Adcy1,ADCY1_MOUSE|O88444,Adenylate cyclase type 1,4.02E-04,6.97E-01
Adcy5,ADCY5_MOUSE|P84309,Adenylate cyclase type 5,4.23E-04,7.73E-01
Adcy6,ADCY6_MOUSE|Q01341,Adenylate cyclase type 6,7.35E-02,3.06E-01
Adcy8,ADCY8_MOUSE|P97490,Adenylate cyclase type 8,7.62E-04,7.39E-01
Adcy9,ADCY9_MOUSE|P51830,Adenylate cyclase type 9,7.38E-04,8.81E-01
Add1,ADDA_MOUSE|Q9QYC0,Alpha-adducin,6.84E-04,1.17E+00
Add1,ADDA_MOUSE|Q9QYC0-2,Alpha-adducin (isoform 2),5.67E-04,1.31E+00
Add2,ADDB_MOUSE|Q9QYB8,Beta-adducin,1.25E-03,8.39E-01
Add3,ADDG_MOUSE|Q9QYB5,Gamma-adducin,5.00E-03,6.66E-01
Adh5,ADHX_MOUSE|P28474,Alcohol dehydrogenase class-3,2.59E-02,3.87E-01
Adk,ADK_MOUSE|P55264,Adenosine kinase,1.12E-01,3.03E-01
Adnp,ADNP_MOUSE|Q9Z103,Activity-dependent neuroprotector homeobox protein,4.77E-03,1.18E+00
Adpgk,ADPGK_MOUSE|Q8VDL4,ADP-dependent glucokinase,2.32E-02,4.37E-01
Adprh,ADPRH_MOUSE|P54923,[Protein ADP-ribosylarginine] hydrolase,2.27E-03,7.65E-01
Adrm1,ADRM1_MOUSE|Q9JKV1,Proteasomal ubiquitin receptor ADRM1,3.28E-01,2.62E-01
Fdxr,ADRO_MOUSE|Q61578,"NADPH:adrenodoxin oxidoreductase, mitochondrial",3.93E-01,3.54E-01
Slc25a4,ADT1_MOUSE|P48962,ADP/ATP translocase 1,8.31E-03,4.78E-01
Slc25a5,ADT2_MOUSE|P51881,ADP/ATP translocase 2,3.67E-02,5.34E-01
Ado,AEDO_MOUSE|Q6PDY2,2-aminoethanethiol dioxygenase,8.78E-02,3.75E-01
Mllt4,AFAD_MOUSE|Q9QZQ1,Afadin,8.77E-04,1.36E+00
Afm,AFAM_MOUSE|O89020,Afamin,1.82E-02,-2.08E-01
Afap1,AFAP1_MOUSE|Q80YS6,Actin filament-associated protein 1,9.30E-04,8.27E-01
NA,AFG1L_MOUSE|Q3V384,NA,8.34E-02,7.00E-01
Afg3l2,AFG32_MOUSE|Q8JZQ2,AFG3-like protein 2,2.97E-02,4.86E-01
Aftph,AFTIN_MOUSE|Q80WT5,Aftiphilin,6.05E-04,1.50E+00
Agap1,AGAP1_MOUSE|Q8BXK8,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1",1.34E-03,7.23E-01
Agap2,AGAP2_MOUSE|Q3UHD9,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",1.36E-03,7.33E-01
Agap3,AGAP3_MOUSE|Q8VHH5,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3",1.29E-02,5.80E-01
Agfg1,AGFG1_MOUSE|Q8K2K6,Arf-GAP domain and FG repeat-containing protein 1,6.43E-04,1.46E+00
Agfg2,AGFG2_MOUSE|Q80WC7,Arf-GAP domain and FG repeat-containing protein 2,5.83E-04,1.29E+00
Agk,AGK_MOUSE|Q9ESW4,"Acylglycerol kinase, mitochondrial",4.99E-02,4.15E-01
Pgm3,AGM1_MOUSE|Q9CYR6,Phosphoacetylglucosamine mutase,3.02E-02,4.42E-01
Ago1,AGO1_MOUSE|Q8CJG1,Protein argonaute-1,4.93E-03,5.00E-01
Ago2,AGO2_MOUSE|Q8CJG0,Protein argonaute-2,1.52E-03,6.48E-01
Ago3,AGO3_MOUSE|Q8CJF9,Protein argonaute-3,1.55E-02,3.23E-01
NA,AGRA1_MOUSE|Q8C4G9,NA,5.64E-04,1.25E+00
NA,AGRB2_MOUSE|Q8CGM1,NA,1.36E-03,9.70E-01
NA,AGRB3_MOUSE|Q80ZF8,NA,5.82E-04,1.44E+00
Agrn,AGRIN_MOUSE|A2ASQ1,Agrin,9.22E-01,7.90E-02
NA,AGRL1_MOUSE|Q80TR1,NA,1.53E-03,8.58E-01
NA,AGRL3_MOUSE|Q80TS3,NA,6.57E-04,1.31E+00
Ahdc1,AHDC1_MOUSE|Q6PAL7,AT-hook DNA-binding motif-containing protein 1,5.27E-02,9.22E-01
Ahi1,AHI1_MOUSE|Q8K3E5,Jouberin,1.31E-04,1.52E+00
Ahsa1,AHSA1_MOUSE|Q8BK64,Activator of 90 kDa heat shock protein ATPase homolog 1,9.80E-04,8.39E-01
Ahsa2,AHSA2_MOUSE|Q8N9S3,Activator of 90 kDa heat shock protein ATPase homolog 2,8.91E-03,6.37E-01
Aida,AIDA_MOUSE|Q8C4Q6,"Axin interactor, dorsalization-associated protein",3.63E-02,5.22E-01
Aifm1,AIFM1_MOUSE|Q9Z0X1,"Apoptosis-inducing factor 1, mitochondrial",1.02E-01,3.83E-01
Aifm3,AIFM3_MOUSE|Q3TY86,Apoptosis-inducing factor 3,8.71E-03,5.93E-01
Aimp1,AIMP1_MOUSE|P31230,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,1.55E-01,3.08E-01
Aimp2,AIMP2_MOUSE|Q8R010,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,7.91E-02,5.33E-01
Ina,AINX_MOUSE|P46660,Alpha-internexin,3.72E-04,1.53E+00
Aip,AIP_MOUSE|O08915,AH receptor-interacting protein,5.52E-04,5.10E-01
Akr1a1,AK1A1_MOUSE|Q9JII6,Alcohol dehydrogenase [NADP(+)],4.96E-02,5.73E-01
Akap10,AKA10_MOUSE|O88845,"A-kinase anchor protein 10, mitochondrial",7.46E-04,9.12E-01
Akap12,AKA12_MOUSE|Q9WTQ5,A-kinase anchor protein 12,4.73E-04,1.59E+00
Akap7,AKA7A_MOUSE|O55074,A-kinase anchor protein 7 isoform alpha,2.37E-04,1.10E+00
Akap1,AKAP1_MOUSE|O08715,"A-kinase anchor protein 1, mitochondrial",6.64E-04,1.39E+00
Akap2,AKAP2_MOUSE|O54931,A-kinase anchor protein 2,3.67E-04,1.73E+00
Akap5,AKAP5_MOUSE|D3YVF0,A-kinase anchor protein 5,1.69E-03,1.10E+00
Akap9,AKAP9_MOUSE|Q70FJ1,A-kinase anchor protein 9,1.04E-03,1.42E+00
Akr1e2,AKCL2_MOUSE|Q9DCT1,"1,5-anhydro-D-fructose reductase",7.21E-02,4.64E-01
Aurkaip1,AKIP_MOUSE|Q9DCJ7,Aurora kinase A-interacting protein,1.59E-01,-4.20E-01
NA,AKP13_MOUSE|E9Q394,NA,5.27E-03,9.56E-01
Akt1,AKT1_MOUSE|P31750,RAC-alpha serine/threonine-protein kinase,1.13E-01,4.46E-01
Akt3,AKT3_MOUSE|Q9WUA6,RAC-gamma serine/threonine-protein kinase,5.00E-02,5.66E-01
Akt1s1,AKTS1_MOUSE|Q9D1F4,Proline-rich AKT1 substrate 1,1.11E-04,9.03E-01
Aldh1a1,AL1A1_MOUSE|P24549,Retinal dehydrogenase 1,1.70E-02,4.04E-01
Aldh1a3,AL1A3_MOUSE|Q9JHW9,Aldehyde dehydrogenase family 1 member A3,6.11E-03,3.97E-01
Aldh1b1,AL1B1_MOUSE|Q9CZS1,"Aldehyde dehydrogenase X, mitochondrial",1.18E-01,5.06E-01
Aldh1l1,AL1L1_MOUSE|Q8R0Y6,Cytosolic 10-formyltetrahydrofolate dehydrogenase,1.68E-02,4.27E-01
Aldh1l2,AL1L2_MOUSE|Q8K009,Mitochondrial 10-formyltetrahydrofolate dehydrogenase,8.11E-01,-7.31E-02
